Naam,OData data type,Omschrijving,Vereist,Systeem,Context
SetComment,Edm.String,Opmerking bij een meetset,false,AquaDesk,ECO
ObservationComment,Edm.String,Opmerking bij een observatie,false,AquaDesk,ECO
CollectionComment,Edm.String,Opmerking bij een collectie (monster),false,AquaDesk,ECO
ModifiedOn,Edm.DateTimeOffset,Datum creatie/wijziging,true,All,All
OrderNumber,Edm.String,OrderNumber,false,All,ECO
BaseValue,Edm.Double,Basiswaarde (geobserveerde waarde),false,AquaDesk,ECO
BaseUnit,Edm.Double,Basiseenheid (van geobserveerde waarde),false,AquaDesk,ECO
SampleReference,Edm.String,Monsterreferentie (collectienummer),false,All,ECO
MonitoringNetworks,Collection(Edm.String),Meetnetten,false,AquaDesk,ECO
Projecten,Collection(Edm.String),Meetnetten,false,AquaDesk,ECO
